#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-01-29T18:43:52 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5c509eb057ec	
#INFO	-out.max=unlimited	
#INFO	queryParameters=14	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_RAJ,_DEJ
#-nav=cat:V/50&tab:{V/50/catalog}&key:source=V/50/catalog&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=V/50/catalog
#-order=I
#-out=RAJ2000
#-out=DEJ2000
#-out=Vmag
#-out=B-V
#

#RESOURCE=yCat_5050
#Name: V/50
#Title: Bright Star Catalogue, 5th Revised Ed. (Hoffleit+, 1991)
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	V_50_catalog:
#Name: V/50/catalog
#Title: The main part of the Catalogue
#Column	_RAJ2000	(F10.6)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F10.6)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.dec]
#Column	RAJ2000	(A10)	?Hours RA, equinox J2000, epoch 2000.0 (1)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	?Sign Dec, equinox J2000, epoch 2000.0 (1)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F5.2)	?Visual magnitude (1)	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F5.2)	? B-V color in the UBV system	[ucd=phot.color;em.opt.B;em.opt.V]
_RAJ2000|_DEJ2000|RAJ2000|DEJ2000|Vmag|B-V
deg|deg|"h:m:s"|"d:m:s"|mag|mag
----------|----------|----------|---------|-----|-----
001.291250|+45.229167|00 05 09.9|+45 13 45| 6.70| 0.07
001.265833| -0.503056|00 05 03.8|-00 30 11| 6.29| 1.10
001.333750| -5.707500|00 05 20.1|-05 42 27| 4.61| 1.04
001.425000|+13.396111|00 05 42.0|+13 23 46| 5.51| 0.90
001.566667|+58.436667|00 06 16.0|+58 26 12| 5.96| 0.67
001.579167|-49.075000|00 06 19.0|-49 04 30| 5.70| 0.52
001.610417|+64.196111|00 06 26.5|+64 11 46| 5.59|-0.03
001.653333|+29.021389|00 06 36.8|+29 01 17| 6.13| 0.75
001.708750|-23.107500|00 06 50.1|-23 06 27| 6.18| 0.38
001.825833|-17.386389|00 07 18.2|-17 23 11| 6.19| 0.14
001.933750| -2.548889|00 07 44.1|-02 32 56| 6.43|-0.14
001.945000|-22.508889|00 07 46.8|-22 30 32| 5.94| 0.14
002.014583|-33.529444|00 08 03.5|-33 31 46| 5.68| 1.12
002.050417| -2.447778|00 08 12.1|-02 26 52| 6.07| 1.38
002.097083|+29.090556|00 08 23.3|+29 05 26| 2.06|-0.11
002.072500| -8.823889|00 08 17.4|-08 49 26| 5.99| 1.04
002.170833|+36.626667|00 08 41.0|+36 37 36| 6.19| 0.48
002.139167|-17.577500|00 08 33.4|-17 34 39| 6.06| 1.67
002.217500|+25.462778|00 08 52.2|+25 27 46| 6.23| 0.97
002.334167|+79.714722|00 09 20.2|+79 42 53| 6.01| 0.19
002.294583|+59.149722|00 09 10.7|+59 08 59| 2.27| 0.34
002.260000|+18.211944|00 09 02.4|+18 12 43| 5.53| 1.04
002.260000|-54.001944|00 09 02.4|-54 00 07| 6.33| 0.74
002.337500|-27.987778|00 09 21.0|-27 59 16| 5.42| 0.42
002.352917|-45.747500|00 09 24.7|-45 44 51| 3.88| 1.03
002.509583|+11.145556|00 10 02.3|+11 08 44| 5.51|-0.07
002.580417|+46.072222|00 10 19.3|+46 04 20| 5.03| 0.40
002.623750|+57.165556|00 10 29.7|+57 09 56| 6.74|-0.08
002.578333| -5.248611|00 10 18.8|-05 14 55| 5.84| 0.98
002.508750|-82.223889|00 10 02.1|-82 13 26| 5.28| 1.05
002.678333|-12.580000|00 10 42.8|-12 34 48| 5.85| 1.01
002.660833|-73.224444|00 10 38.6|-73 13 28| 6.64| 0.37
002.816250|-15.468056|00 11 15.9|-15 28 05| 4.89| 0.49
002.893333|-27.799722|00 11 34.4|-27 47 59| 5.41| 1.34
002.933333|-35.133056|00 11 44.0|-35 07 59| 5.25| 0.44
002.996250|+48.152500|00 11 59.1|+48 09 09| 6.16| 1.45
003.041667|-17.938333|00 12 10.0|-17 56 18| 5.25| 1.48
003.210000|+37.693333|00 12 50.4|+37 41 36| 6.73|-0.13
003.309167|+15.183611|00 13 14.2|+15 11 01| 2.83|-0.23
003.350000|+26.987222|00 13 24.0|+26 59 14| 6.30| 0.65
003.378333|+41.035278|00 13 30.8|+41 02 07| 5.72| 0.31
003.425417|-26.021944|00 13 42.1|-26 01 19| 5.94| 1.55
003.434167|-26.284722|00 13 44.2|-26 17 05| 6.31| 1.48
003.509583|+33.206111|00 14 02.3|+33 12 22| 6.25|-0.01
003.650833|+20.206667|00 14 36.2|+20 12 24| 4.80| 1.57
003.615000| -7.780556|00 14 27.6|-07 46 50| 5.12| 1.62
003.330833|-84.994167|00 13 19.4|-84 59 39| 5.77| 1.72
003.660000|-18.932778|00 14 38.4|-18 55 58| 4.44| 1.66
003.733750|+22.284167|00 14 56.1|+22 17 03| 6.24|-0.01
003.745000| +8.820833|00 14 58.8|+08 49 15| 5.79| 0.31
003.727083| -9.569722|00 14 54.5|-09 34 11| 5.75|-0.08
003.779167|+31.535833|00 15 07.0|+31 32 09| 6.45|
003.794167|+27.283056|00 15 10.6|+27 16 59| 6.35|-0.02
003.742500|-34.904444|00 14 58.2|-34 54 16| 6.17| 1.34
004.058333|+76.950833|00 16 14.0|+76 57 03| 6.35|-0.07
004.090000|+43.594722|00 16 21.6|+43 35 41| 6.15| 0.05
004.037083|-31.446389|00 16 08.9|-31 26 47| 5.67| 1.35
003.980000|-75.911389|00 15 55.2|-75 54 41| 6.49| 1.00
004.142083| +8.240000|00 16 34.1|+08 14 24| 6.11| 0.92
004.237917|+61.533333|00 16 57.1|+61 32 00| 5.74| 0.88
004.177083|-20.210556|00 16 42.5|-20 12 38| 6.47|-0.09
004.287917|+47.947500|00 17 09.1|+47 56 51| 5.89|-0.09
004.272917|+38.681667|00 17 05.5|+38 40 54| 4.61| 0.06
004.204167|-78.780556|00 16 49.0|-78 46 50| 6.77| 0.46
004.429167|+51.433056|00 17 43.0|+51 25 59| 6.14|-0.13
004.385833|-19.051111|00 17 32.6|-19 03 04| 6.45| 0.37
004.448750| +1.688889|00 17 47.7|+01 41 20| 6.17| 0.94
004.582083|+36.785278|00 18 19.7|+36 47 07| 4.52| 0.05
004.571667|+11.205833|00 18 17.2|+11 12 21| 6.05| 1.03
004.675417|+43.791111|00 18 42.1|+43 47 28| 6.11|-0.08
004.659583|+31.517222|00 18 38.3|+31 31 02| 5.87|-0.01
004.674167| -8.052778|00 18 41.8|-08 03 10| 6.46| 0.68
004.677500|-43.235278|00 18 42.6|-43 14 07| 6.33| 1.21
004.857083| -8.823889|00 19 25.7|-08 49 26| 3.56| 1.22
004.923333|+40.729722|00 19 41.6|+40 43 47| 6.33| 1.18
005.021667|+48.865278|00 20 05.2|+48 51 55| 6.52|
005.017917|-64.874722|00 20 04.3|-64 52 29| 4.23| 0.58
005.101667|+30.935833|00 20 24.4|+30 56 09| 5.90|-0.10
