# ra dec Gmag rv rvErr parallax ntransits
334.88377497  37.13707692  13.04449500 -11.18986548  19.05984373   3.04045811          34
334.61614768  37.20392567  12.78772300  -8.09338942  19.27562084   1.16856603          29
320.26341747 -38.32628375  12.20244400  -1.64519171  16.78035185   2.80400217          29
266.95824425  66.12293680  12.41305300   0.41344567  11.88452005   1.85530019          94
266.59140945  66.26791784  11.36673800 -32.03699742   9.14140290   5.28497096          93
268.67674948  66.36203261  13.25342300   0.59283283   9.36222325   2.15611474         158
268.49064536  66.48334799  13.56844800 -18.36894045  11.52044608   2.58092368         158
266.56289840  66.46354226  13.32515000 -17.83552939  16.97966077   5.47213130         120
265.00478416  66.48156552  12.22673900   0.78209233  11.11172764   2.01284713          87
266.38036595  66.45203369  13.31784400 -93.88730440  13.72001014   1.20695219         113
265.22327923  66.65929382  13.60405200  21.75128453  18.39345126  15.11344216          65
263.47422024  66.75424746  13.55999600 -50.61325883  16.71068148   1.00243403          40
338.39187748  32.12329005  11.93185600 -19.17961838  18.32829754   1.95325671          23
180.16508450 -25.78271409  13.77725200  -5.95241544  18.32762432   7.94001134          32
279.94595199  65.63290705  11.55554000   8.37538578  17.87986215   4.70148535          37
277.49324270  65.81999901  12.74359000 -10.04684840  12.96138399   1.65621220          49
278.79941679  66.15358201  13.48611300  -6.33572618  16.40590520   8.04487197          51
277.55757577  65.80383120  13.15119100 -44.94433406  19.27647374   1.64405804          52
279.72509040  65.76693531  12.81034300  -3.91854522  18.57053219   1.09887601          40
275.93416674  66.25174377  13.30024100 -52.68580703  19.98238546   0.87664234          58
277.48488189  66.40777547  13.24810900  15.52834862  18.02244123   3.32254950          59
277.72294308  66.35679817  13.05542000  -9.51439804  17.01082315   1.80957892          58
276.21517613  66.50182072  12.74939300 -10.88227646  16.69935270   1.86708067          70
276.01831977  66.52798559  12.62222300 -29.08694150  15.46889653   1.21182079          70
276.61971002  66.73806920  12.27303400   7.40776374  17.57426278   1.86251417          55
277.96502227  66.28963623  13.22535400 -108.65913124  19.35132293   0.50667245          64
277.71380575  66.27972260  12.89193700 -47.59542869  18.42534832   2.20895304          58
276.08104586  66.60259354  13.07218700  -3.11189228  16.68224353   4.54265083          73
274.22608794  66.09388250  12.78806100   3.29399577  15.07861016   1.56129061          72
272.95042832  66.26824442  12.83709200 -24.03614579   9.65557601   1.68103843         105
274.79911139  66.01390608  13.10408000 -56.01511323  13.11859872   1.84310401          52
275.51260869  66.31243422  12.57421300  -7.51784522  14.80087802   1.81050294          84
275.25478285  66.06566022  12.70948500   3.81230699  11.13183025   2.70290984          74
275.02674967  65.97511412  12.85543800 -17.04157841  12.11046841   2.31973810          60
273.01680696  66.16024031  12.87951400 -15.80937154  19.24070244   1.71696220          86
277.36200595  66.94961910  12.93288300 -27.40831624  15.81556958   2.20750028          39
274.63784574  66.54326609  12.68429500 -17.10169451  19.73255123   1.43343913          94
270.90631716  66.48412455  12.78574700 -51.53467830  12.40071776   3.04528052          52
271.97422789  66.56753485  12.96657600 -34.82115756  12.10594228   0.25742711          96
274.27197949  66.59543746  12.92172300 -22.46881129  18.35893409   1.85843231          89
274.63603299  66.63892036  12.51320000  -7.86468216  15.50640350   1.24381242          79
271.82859067  66.47822246  13.22779300 -20.59087076  14.14451722   1.14736846         165
273.96531028  66.50149097  13.23934700 -17.79866505   9.74578900   5.47796246         112
275.04475833  66.59310699  13.00149600 -42.48449230  16.71048250   2.22768194          89
272.10255228  66.58607862  12.67663200 -31.33662137  17.12539198   1.14707944          95
271.31412002  66.43359058  12.73584900  31.53283879   7.18344347   1.85737045         170
271.31463806  66.35565489  12.68071400 -20.94282534   6.97066717   2.28165016         166
270.98234502  66.54068884  13.13289800 -57.26599341  10.59274976   1.18877990         152
275.43488398  66.51605907  12.76702200 -52.86634431  16.51477108   1.99987439          75
 80.36030066  67.06016713  10.98621000  -1.75130962  17.40757090   3.42199324          36
162.83921767 -27.91905231  12.44299200  -1.56225438  18.62651369   3.37071744          23
 11.47614602  21.47251879  12.11373600 -51.57274374  19.73530594   2.32761533          22
 74.88339916  66.97896062  11.35193100 -20.31765112  18.85973896   4.00297952          29
 41.86420293  63.57159083  14.46817100 -31.32600451  16.68952349   0.17697477          34
180.85310292  48.42830056  12.78566400 -10.90581232  19.09865845   1.29182036          24
115.94227042   3.60853115  12.21246100 -25.52044612  19.87733649   2.04149266          25
236.24872344  -6.92369134  11.81607300 -42.26564046  17.61753641   4.76429063          26
 97.68698993 -21.83205375  13.62509600  67.22993635  14.53513794   5.49530401          39
 96.20431690 -21.51902572  12.91548400  63.24240189  14.97246314   1.84848827          37
 95.68825437 -21.37013260  12.75690650 108.69974636  12.55566368   2.53915428          49
 96.16394427 -21.40929927  13.59942000  40.71579685  14.30108066   9.76271596          48
 94.80101792 -20.91383032  12.53155300  37.82978559  16.49089270   3.29120971          39
335.91002478 -49.82474025  12.28028700  -4.26734574  19.60582445   1.39280093          27
 59.89407876 -62.43972927  12.64430300  12.01348121  19.75186508   2.65568994          23
 54.62302578 -26.70814419  11.75488000  31.35470157  17.97493104   1.14972437          36
 92.38676222 -21.32025693  13.06600800   1.92092906  15.62125307   3.22638392          38
 92.92227829 -21.24084546  13.66335500  50.20654622  19.86298380   0.20213531          40
 93.55753292 -21.17748091  13.75928800  64.60717825  18.53089546   0.56294631          39
 92.62499504 -21.41970407  12.04960100  62.37201798  17.02531800   5.50353285          39
 92.92702550 -20.40763085  13.19746600  52.30757974  19.92173572   4.43490084          28
 20.41984652  56.49407718  11.86420800   7.16775474  18.79867773   2.49320745          32
 17.41866661  57.33917931  10.92341900   6.31466156  15.81695075   2.12366530          45
 17.35292264  57.38757575  11.62101200 -31.08467590  14.92560182   2.46679602          38
 70.37331557  16.28307875  12.95630600 -16.80898140  17.97994102   2.50547695          27
307.45210928  26.50781855  12.18523900  10.00879943  19.32096987   1.32249271          30
253.34778462 -64.37499966  11.47038800 -10.40854351  19.73242031   2.08124616          20
261.63660449  20.35378755  13.06747800 -11.10698403  19.95510419   1.80920540          45
262.49059110  20.53793986  13.54765800  -4.33287681  17.32132750   2.12773142          26
262.04519062  20.62703438  12.98176800 -14.93607496  19.57041700   0.88570976          29
337.02044282  30.28017074  12.47860050  -8.68015222  19.79369033   0.96316324          28
264.65250631  21.35522215  12.25328100 -53.58235349  15.72792308   2.39075667          34
 50.94229206 -25.48650204  11.17156400  53.42694761  18.49225875   2.35597751          27
270.32673660  66.26672105  12.91939400 -92.09728406  14.98558791   1.81394349         123
185.08487532 -17.83553671  12.04018400 -20.26517555  19.11510465   1.63815647          31
184.84571821 -17.90917575  12.24357800  28.50551600  18.80119352   5.65480856          29
147.56128213 -32.58223207  13.10521300  18.77831292  18.94956687   0.47085121          32
242.65404318 -33.46067738  13.87236800 -71.51200999  19.84597099   0.22800298          24
