MJD mag magerr flux fluxerr
58703.3866520718 2.7714231206 0.0316426819 0.0778808624 0.0022698345
58703.3866909585 2.7789669235 0.0317268113 0.0773416139 0.0022601113
58703.3867298452 2.7707567928 0.0317635512 0.0779286733 0.0022799037
58703.386768732 2.7885546063 0.0319389084 0.0766616491 0.0022552173
58703.3868076187 2.8271644306 0.033158431 0.0739833901 0.0022595313
58703.3868465055 2.7847768252 0.0317838043 0.0769288552 0.0022520878
58703.3868853922 2.8379211713 0.0330832027 0.0732540316 0.0022321801
58703.386924279 2.7768090769 0.0318207539 0.0774954794 0.002271313
58703.3869631657 2.7563279133 0.0315657084 0.0789712177 0.002296014
58703.3870020525 2.8037750535 0.0327965311 0.0755944617 0.002283537
58703.3870409392 2.7874062351 0.0321181086 0.0767427762 0.0022702706
58703.387079826 2.7938891846 0.0323198827 0.0762859091 0.0022709327
58703.3871187127 2.7707576526 0.0319084694 0.0779286116 0.0022903037
58703.3871575995 2.8036156911 0.0328366444 0.0756055581 0.0022866656
58703.3871964862 2.797265331 0.0322101807 0.076049063 0.0022561979
58703.387235373 2.7810351977 0.0327672233 0.0771944222 0.0023297844
58703.3872742597 2.8041416127 0.0321905625 0.0755689443 0.0022405884
58703.3873131464 2.7975913327 0.0321256487 0.0760262321 0.0022496012
58703.3873520332 2.7820851637 0.0318774587 0.0771198071 0.0022643304
58703.3873909199 2.7764548825 0.0320989378 0.0775207645 0.0022919169
58703.3874298067 2.7901432125 0.0320723934 0.0765495629 0.0022613316
58703.3874686934 2.8013590549 0.0328133589 0.075762863 0.0022897983
58703.3875075802 2.8085241884 0.0327075655 0.0752645249 0.0022674029
58703.3875464669 2.8109188505 0.0327544058 0.075098707 0.0022656475
58703.3875853537 2.825326983 0.032729682 0.074108702 0.0022340925
58703.3876242404 2.7926454007 0.0322796372 0.0763733498 0.0022707046
58703.3876631272 2.7770767254 0.0317176524 0.0774763781 0.0022633958
58703.3877020139 2.7529934459 0.0315673536 0.0792141236 0.0023031963
58703.3877409007 2.7868547416 0.0318816539 0.0767817672 0.0022547018
58703.3877797874 2.8070950294 0.0325223954 0.0753636612 0.002257536
