MJD mag magerr flux fluxerr
58560.4617450231 2.8146569412 0.0516158464 0.0748405936 0.0035580368
58560.4618496296 2.8161843032 0.051664352 0.0747353854 0.003556374
58560.4619541667 2.8802781473 0.0536700285 0.0704512562 0.0034826572
58560.4620587153 2.8522617686 0.0524024474 0.0722928411 0.0034892897
58560.4621633102 2.8537131288 0.0531307434 0.072196268 0.0035330583
58560.4622679167 2.7919384477 0.0512327838 0.0764230948 0.0036063074
58560.4623724769 2.8785717222 0.0543228371 0.0705620697 0.0035305626
58560.4624770023 2.8168687378 0.0515696563 0.074688288 0.0035476184
58560.4625815394 2.9016036453 0.0547799563 0.0690809883 0.0034855425
58560.4626861111 2.8241222314 0.051567759 0.0741909799 0.0035238672
58560.4627906713 2.8820345693 0.0535730936 0.0703373776 0.0034707478
58560.4628951968 2.8982634316 0.0544750063 0.0692938397 0.003476819
58560.4629997569 2.8515574937 0.0527810742 0.0723397498 0.0035167815
58560.4631043634 2.8597100849 0.0532026404 0.0717985983 0.0035183522
58560.4632088773 2.8393211986 0.0522985439 0.0731596334 0.0035241248
58560.4633134375 2.8062522411 0.0501681814 0.0754221839 0.0034851191
58560.4634180093 2.8633470434 0.0540292508 0.0715584925 0.0035610682
58560.463522581 2.8867139284 0.0537119556 0.0700348864 0.0034647791
58560.4636271296 2.9502486701 0.0575727436 0.0660542144 0.0035027377
58560.4637317014 2.9728068305 0.0567966636 0.0646959758 0.0033844668
58560.4638362731 2.9420971961 0.0558971849 0.0665520016 0.0034264249
58560.4639408449 3.0424914409 0.0617964465 0.0606741113 0.0034534811
58560.4640453704 3.1610353307 0.0670496184 0.0543983676 0.0033594822
58560.4641499074 3.0314366169 0.0608188698 0.0612950429 0.0034336329
58560.4642545023 3.0411300433 0.0618106001 0.0607502379 0.0034586061
58560.4643590741 2.8566144749 0.0533843526 0.0720035999 0.0035404491
58560.4644636343 2.8406569337 0.0519926979 0.0730696836 0.0034992079
58560.4645682523 2.9170541732 0.0549358887 0.0681048955 0.0034460744
58560.4646727546 2.8487947459 0.0524570754 0.0725240589 0.0035040988
58560.4647773611 2.8524451702 0.0525178812 0.0722806304 0.0034963853
58560.4648818519 2.8815225201 0.0532669711 0.0703705575 0.0034525435
58560.464986412 2.8203007748 0.0518795372 0.0744525694 0.0035576723
58560.4650910069 2.8299598239 0.0510896516 0.0737931536 0.0034724754
58560.465195544 2.8101272089 0.0503721065 0.0751534836 0.0034868189
58560.4653000926 2.8275051497 0.0517417089 0.0739601767 0.0035247545
58560.4654047222 2.8008519626 0.050916204 0.0757982563 0.00355472
58560.4655092245 2.8828046886 0.0545500847 0.0702875045 0.0035315366
58560.4656137847 2.8265626523 0.0515445092 0.0740244074 0.0035143702
58560.4657183449 2.7888823041 0.0496572497 0.0766385145 0.0035052573
58560.4658229282 2.9005158228 0.0544297341 0.0691502367 0.0034667302
58560.4659274884 2.8229475987 0.0510931408 0.0742712889 0.0034952136
58560.4660320139 2.8549310356 0.0525231911 0.0721153284 0.003488742
58560.4661366204 2.8749811851 0.0525652148 0.0707958053 0.0034276473
58560.4662411806 2.8080622179 0.0500412518 0.0752965561 0.0034705111
58560.4663457176 2.849715096 0.0520101226 0.0724626082 0.0034712988
58560.4664502662 2.9028289702 0.0534473748 0.0690030698 0.0033969171
58560.4665548495 2.8667718462 0.0520364786 0.0713331269 0.003418923
58560.4666595023 2.9460628615 0.0560172892 0.0663093629 0.0034212681
58560.4667640046 2.7881056468 0.0489599727 0.0766933558 0.0034585103
58560.4668685648 2.8214893394 0.050247111 0.0743711101 0.0034419577
58560.4669731019 2.8201048652 0.0510625987 0.0744660048 0.0035022821
58560.4670777083 2.8209256425 0.0503790845 0.0744097325 0.0034527901
58560.4671821875 2.8817314738 0.0527869944 0.0703570158 0.003420775
58560.4672867477 2.8753516535 0.0525666698 0.0707716529 0.0034265728
58560.4673913194 2.9171517313 0.054668219 0.0680987762 0.0034289756
58560.4674958912 2.8863705363 0.0535761245 0.0700570403 0.0034571104
58560.467600463 2.78603867 0.0491604701 0.0768395003 0.0034792907
58560.4677050694 2.8078263931 0.0499416538 0.0753129125 0.0034643561
58560.467809537 2.8780981364 0.0521046182 0.0705928548 0.003387873
58560.4679141898 2.9180195126 0.0547436891 0.0680443696 0.003430966
58560.4680187037 2.8174207699 0.0499952386 0.0746503231 0.0034375617
58560.4681232639 2.8826998023 0.0531632316 0.0702942949 0.0034420852
58560.4682278125 2.9042803944 0.0541644487 0.0689108873 0.0034378928
58560.4683323727 2.9048514606 0.0530321627 0.0688746517 0.0033642551
58560.4684385069 2.8299387136 0.0504304989 0.0737945884 0.0034277405
58560.4685415162 2.858359569 0.0531389681 0.0718879621 0.0035185154
58560.4686461111 2.8265685625 0.0516549051 0.0740240044 0.003521878
58560.4687506366 2.836462875 0.0512652769 0.0733524882 0.0034636047
58560.4688551852 2.8304967577 0.0505976982 0.0737566693 0.0034373378
58560.4689597454 2.838950553 0.0505928146 0.0731846127 0.0034103487
58560.4690643287 2.8521396405 0.05189893 0.0723009733 0.003456151
58560.4691688542 2.8336880909 0.0510176825 0.0735401927 0.003455697
58560.4692734607 2.7756605011 0.0487406722 0.0775775035 0.0034827113
58560.4693779745 2.9300428961 0.0544450218 0.0672950068 0.003374669
58560.4694825463 2.8507788468 0.0507928904 0.0723916476 0.0033867376
58560.4695870949 2.8210945648 0.0505062821 0.0743981564 0.0034609692
58560.4696916435 2.805555898 0.0499168247 0.0754705719 0.0034698824
58560.4697962037 2.870003527 0.0524094864 0.0711211203 0.0034331965
58560.469900787 2.8537601477 0.051896369 0.0721931415 0.0034508261
58560.4700053704 2.8132007261 0.0507388118 0.0749410389 0.0035022744
58560.4701099421 2.7997091064 0.0498358819 0.0758780843 0.0034829614
58560.470214456 2.8623401074 0.0522260636 0.0716248882 0.003445414
58560.4703190509 2.8189442592 0.0514896559 0.0745456483 0.0035353503
58560.4704236343 2.8352841777 0.0524335121 0.0734321644 0.0035463814
58560.4705282407 2.9554297881 0.0564942235 0.0657397555 0.0034207575
58560.4706327662 2.8982982067 0.054911643 0.0692916204 0.0035045747
58560.4707373495 2.8534840452 0.0530246669 0.0722115026 0.0035267485
58560.4708418287 2.8148671222 0.0510912315 0.0748261071 0.0035211918
58560.4709463657 2.8126723697 0.0503588824 0.0749775167 0.0034777415
58560.4710509606 2.8160217713 0.0503414111 0.074746574 0.0034658267
58560.4711555208 2.8966859191 0.0529898344 0.0693945929 0.0033869467
58560.4712600579 2.7684789889 0.0496545618 0.0780923342 0.0035715581
58560.4713646065 2.856466376 0.053021288 0.0720134222 0.0035168503
58560.4714691782 2.8321652629 0.0518616654 0.0736434108 0.0035177949
58560.47157375 2.7906522167 0.05010334 0.0765136841 0.0035309857
58560.4716783218 2.8047319725 0.0503013409 0.0755278655 0.0034992658
58560.4717828819 2.9196663638 0.0557858491 0.0679412377 0.0034909824
58560.4718874421 2.8517898268 0.052265711 0.0723242717 0.003481698
58560.471992037 2.7414664685 0.0476095406 0.0800595994 0.0035107311
58560.4720965972 2.769232362 0.0489171256 0.0780381662 0.0035160751
58560.4722011921 2.7907612023 0.0494558722 0.076506004 0.0034850061
58560.4723056944 2.7996949809 0.0497760747 0.0758790714 0.0034788269
58560.4724102894 2.8296448831 0.0509506177 0.0738145619 0.0034640301
58560.472514838 2.7995918748 0.0501000589 0.0758862776 0.0035018025
58560.472619375 2.838546054 0.0517845675 0.0732118832 0.0034919828
58560.4727239236 2.9151480414 0.0557302462 0.0682245663 0.0035020465
58560.4728284838 2.8518999549 0.0525572076 0.0723169361 0.003500761
58560.4729330324 2.859851222 0.053194069 0.0717892657 0.0035173281
58560.4730376273 2.847424932 0.0514890037 0.0726156162 0.0034437743
58560.4731421644 2.7936575289 0.0504736135 0.0763021874 0.003547248
58560.4732467361 2.8222482512 0.0508744938 0.0743191441 0.0034824987
58560.4733513079 2.8236878976 0.0504346203 0.074220665 0.0034478134
58560.4734558333 2.7605396157 0.0479508622 0.0786654722 0.0034743274
58560.4735603935 2.859666713 0.0520886779 0.0718014665 0.0034448222
