MJD mag magerr flux fluxerr
58601.4090233449 2.7266166805 0.0395869501 0.0811621098 0.0029593446
58601.4090464931 2.7007892006 0.0383549745 0.0831159398 0.0029362713
58601.4090696412 2.6922573624 0.0380307965 0.0837716472 0.0029344225
58601.4090927894 2.7541875844 0.0396369704 0.0791270485 0.0028887874
58601.4091159375 2.7635283038 0.0404598783 0.0784492288 0.0029235021
58601.4091390856 2.7130951879 0.0394883663 0.082179203 0.0029889679
58601.4091622338 2.6987830974 0.0390973435 0.0832696542 0.0029986389
58601.4091853819 2.690219912 0.0375527544 0.0839289974 0.0029029797
58601.4092085301 2.6965281133 0.0380038775 0.0834427781 0.0029208337
58601.4092316782 2.7208074481 0.0389990441 0.0815975315 0.002931036
58601.4092548264 2.7299950908 0.0385695614 0.0809099558 0.0028743313
58601.4092779745 2.7156700918 0.0389304702 0.0819845398 0.0029397593
58601.4093011227 2.7016711512 0.0388417295 0.0830484516 0.0029711205
58601.4093242708 2.7272425082 0.0401795054 0.0811153407 0.0030019105
58601.409347419 2.7497784175 0.0416899231 0.0794490362 0.003050773
58601.4093705671 2.6997276451 0.040203075 0.0831972444 0.0030807636
58601.4093937153 2.7192764713 0.0413213811 0.0817126719 0.0031099571
58601.4094168634 2.7034782758 0.0413240657 0.0829103388 0.0031557449
58601.4094400116 2.7436593022 0.0439259018 0.0798980682 0.003232564
58601.4094631597 2.6601859515 0.0430919576 0.086283076 0.003424617
58601.4094863079 2.7166214096 0.0454054688 0.0819127367 0.0034257034
58601.409509456 2.7124035061 0.0461327072 0.0822315729 0.0034941191
58601.4095326042 2.7170299863 0.0497180743 0.0818819177 0.003749665
58601.4095557523 2.790949126 0.0585965637 0.0764927632 0.0041284085
58601.4095789005 2.8009247288 0.0638458611 0.0757931764 0.0044571066
58601.4096020486 2.7096724536 0.070216076 0.082438678 0.0053316022
58601.4096251968 2.7947706839 0.0784065119 0.0762239984 0.0055047046
58601.4096483449 2.7086216471 0.0819576158 0.0825185031 0.0062291791
58601.4096714931 2.7908355786 0.1014010997 0.0765007633 0.0071449402
58601.4096946412 2.6782002851 0.0897334118 0.0848632942 0.0070139752
58601.4097177894 2.6208436207 0.0752489722 0.0894669334 0.0062008794
58601.4097409375 2.6907492901 0.0748912649 0.0838880857 0.0057865753
58601.4097640856 2.658937247 0.0829773879 0.0863823672 0.0066019924
58601.4097872338 2.62702106 0.0890938421 0.0889593449 0.0073001104
58601.4098103819 2.6409699955 0.1047360351 0.087823755 0.0084722408
58601.4098335301 2.6708236777 0.1047768238 0.0854418275 0.0082456694
58601.4098566782 2.7921159863 0.1314233735 0.0764105992 0.00924946
58601.4098798264 2.5291194953 0.1150137545 0.0973536417 0.0103131692
58601.4099029745 2.8327843732 0.1617546429 0.0736014297 0.0109656194
58601.4099261227 2.6492014576 0.1481721575 0.0871604406 0.0118953215
58601.4099492708 2.748351007 0.1540831463 0.079553556 0.0112902848
58601.409972419 2.665710477 0.1554705551 0.085845159 0.0122928935
58601.4099955671 2.5589322093 0.1515779832 0.0947168216 0.0132237126
58601.4100187153 2.679391213 0.1695938326 0.0847702599 0.0132416996
58601.4100418634 2.6895940732 0.2073377848 0.0839773896 0.0160372902
58601.4100650116 2.7564169089 0.2511655454 0.0789647449 0.0182676828
58601.4100881597 2.4825229455 0.2152385073 0.1016227216 0.0201465625
58601.4101113079 2.6571429475 0.2719706291 0.0865252417 0.0216747945
58601.410134456 2.9820229475 0.5099408705 0.0641491374 0.030130116
58601.4101576042 2.1796375153 0.3473930135 0.1343213332 0.042978993
58601.4101807523 2.7455838152 0.6973862017 0.079756571 0.0512306642
58601.4102039005 2.3604111776 0.4140115832 0.1137196538 0.0433648834
58601.4102270486 2.4449930302 0.5115176327 0.1051968627 0.0495625405
58601.4102501968 3.0987841063 0.7404691918 0.0576084722 0.0392901343
58601.4102733449 2.6117545373 0.3402176612 0.0902190366 0.0282712624
58601.4102964931 2.8154547728 0.3804566263 0.0747856187 0.0262067645
58601.4103196412 2.5407299985 0.2872357645 0.0963181208 0.0254821857
58601.4103427894 2.6924576594 0.3329382744 0.0837561944 0.0256844827
58601.4103659375 2.2701261831 0.176337823 0.1235803801 0.0200717465
58601.4103890856 2.5112181761 0.187177506 0.0989720873 0.0170630455
58601.4104122338 2.6620272502 0.211366503 0.0861368727 0.0167693189
58601.4104353819 2.5480972575 0.2192966288 0.0956667669 0.0193233853
58601.4104585301 2.4884744931 0.1646822868 0.1010671927 0.01533018
58601.4104816782 2.5883913662 0.1482296323 0.0921814327 0.0125854471
58601.4105048264 2.5315270289 0.1453812461 0.0971380069 0.0130073174
58601.4105279745 2.7162020509 0.1748823397 0.0819443811 0.0131994336
58601.4105511227 2.8235781433 0.1906711459 0.0742281681 0.0130359859
58601.4105742708 2.5401978307 0.1767010522 0.0963653422 0.0156837592
58601.410597419 2.4961123656 0.1730517099 0.1003587062 0.0159963578
58601.4106205671 2.9680898567 0.2604875915 0.0649776585 0.0155898257
58601.4106437153 2.7739553909 0.1775538918 0.0776994319 0.0127068587
58601.4106668634 2.7292258123 0.1308529872 0.0809673033 0.0097585093
58601.4106900116 2.6846192352 0.1241917833 0.0843630565 0.0096501782
58601.4107131597 2.708550299 0.1126963677 0.0825239259 0.0085660373
58601.4107363079 2.6554944504 0.0976452756 0.0866567146 0.0077936988
58601.410759456 2.7687915799 0.1043160797 0.0780698542 0.0075010971
58601.4107826042 2.8050325666 0.0932755543 0.0755069579 0.0064870161
58601.4108057523 2.6402573668 0.0808760543 0.0878814175 0.0065464698
58601.4108289005 2.6338211235 0.0863670645 0.0884039256 0.0070325021
58601.4108520486 2.6722886699 0.1069752412 0.0853266179 0.0084073276
58601.4108751968 2.6597895034 0.1050945455 0.0863145874 0.0083551555
58601.4108983449 2.6608036116 0.1073976653 0.0862340047 0.0085302853
58601.4109214931 2.6475028069 0.1157482802 0.0872969112 0.0093068687
58601.4109446412 2.5621406776 0.1039261534 0.0944373363 0.0090397984
58601.4109677894 2.6121586363 0.1030011664 0.0901854643 0.0085559621
58601.4109909375 2.6538537508 0.1048481639 0.0867877641 0.0083812634
58601.4110140857 2.7182272893 0.1001781312 0.0817916716 0.0075469622
58601.4110372338 2.6898172086 0.0933468613 0.0839601327 0.0072187666
58601.4110603819 2.6815019783 0.090502481 0.0846056193 0.0070526098
58601.4110835301 2.740789466 0.0883753773 0.0801095355 0.0065208717
58601.4111066782 2.6703388774 0.0769549273 0.0854799873 0.0060588618
58601.4111298264 2.7026546047 0.0689459095 0.0829732608 0.0052691047
58601.4111529745 2.7244399622 0.0692985495 0.0813249894 0.0051908481
58601.4111761227 2.6102393417 0.0645361482 0.0903450294 0.0053702866
58601.4111992708 2.7437597828 0.0690771909 0.0798906743 0.0050830095
58601.411222419 2.7788050364 0.074213179 0.0773531467 0.0052874854
58601.4112455671 2.6938767435 0.068281327 0.0836467945 0.0052606743
58601.4112687153 2.6500305375 0.0627197793 0.0870939094 0.0050313261
58601.4112918634 2.7045811817 0.0640084649 0.0828261601 0.0048830942
58601.4113150116 2.6332058565 0.0577182551 0.0884540367 0.0047024156
58601.4113869329 2.7498544199 0.0637011448 0.0794434749 0.0046611774
58601.411410081 2.6704563123 0.0608248238 0.0854707422 0.0047883788
58601.4114332292 2.73209842 0.0648445765 0.0807533657 0.0048230799
58601.4114563773 2.6742124383 0.0596292232 0.0851755653 0.0046780444
58601.4114795255 2.7176737312 0.0633074893 0.0818333834 0.0047717289
58601.4115026736 2.7098307527 0.0661440496 0.0824266594 0.0050216755
58601.4115258218 2.7091316453 0.065889386 0.0824797511 0.0050055634
58601.4115489699 2.7393915002 0.0706302983 0.0802127489 0.0052182466
58601.4115721181 2.7479652579 0.0747194636 0.0795818255 0.0054769377
58601.4115952662 2.7225587525 0.0792614296 0.0814660199 0.0059474194
58601.4116184144 2.6137365579 0.0727808626 0.0900544912 0.0060368827
58601.4116415625 2.6981821869 0.0670345189 0.0833157533 0.0051441756
58601.4116647106 2.6245029511 0.0654130951 0.0891659045 0.0053722187
58601.4116878588 2.7069325893 0.0714405925 0.0826469754 0.0054382876
58601.4117110069 2.7015586975 0.0753834567 0.0830570537 0.0057669041
58601.4117341551 2.6915140821 0.0784259514 0.0838290158 0.0060554208
58601.4117573032 2.695624147 0.0878039322 0.0835122801 0.0067538976
58601.4117804514 2.7875581658 0.1059419147 0.0767320381 0.0074874634
58601.4118035995 2.624068023 0.0960396744 0.0892016301 0.0078906655
58601.4118267477 2.7371991639 0.1090703154 0.0803748794 0.0080745265
58601.4118498958 2.67130353 0.1008288966 0.085404074 0.0079314714
58601.411873044 2.6695481297 0.0852064264 0.0855422655 0.0067134114
58601.4118961921 2.6818655624 0.0818644763 0.0845772919 0.0063773379
58601.4119193403 2.7176564443 0.0773791249 0.0818346864 0.005832455
58601.4119424884 2.6436504418 0.0705733397 0.0876072047 0.0056946974
58601.4119656366 2.7330463809 0.0720873578 0.0806828903 0.0053571119
58601.4119887847 2.6752391932 0.065947444 0.0850950549 0.0051688324
58601.4120119329 2.7575738851 0.0674316025 0.0788806437 0.0048991878
58601.412035081 2.6921522214 0.0648672227 0.0837797599 0.005005582
58601.4120582292 2.7174864314 0.0660794527 0.0818475017 0.0049815217
58601.4120813773 2.6728434549 0.0646890572 0.0852830292 0.0050814026
