# ZTF errorbar correction coefficients in the g band
# P. Mroz @ Caltech, 18 Nov 2020
# magerr = A + B*x + C*10^(0.4*x) + D*10^(0.8*x) for x <= 21
# magerr = b*x + c for x > 21
# Unfortunately, "b" and "c" coefficients are not stored anywhere
# according to Frank Masci (email from 17 Nov 2020).
# fieldid ccdid qid A B C D
 245  1 1  0.0408 -0.0017 2.0049e-09 -6.2573e-18
 246  1 1  0.0490 -0.0022 2.1061e-09 -6.6195e-18
 247  1 1  0.0530 -0.0026 2.4014e-09 -8.0514e-18
 248  1 1  0.0214 -0.0004 2.0861e-09 -6.9743e-18
 249  1 1  0.0487 -0.0022 2.4276e-09 -8.0444e-18
 250  1 1  0.0458 -0.0022 2.6377e-09 -9.5393e-18
 251  1 1  0.0442 -0.0021 2.4188e-09 -8.1990e-18
 252  1 1  0.0249 -0.0007 2.2242e-09 -7.4462e-18
 253  1 1  0.0342 -0.0013 2.2071e-09 -6.5216e-18
 254  1 1  0.0446 -0.0021 2.3037e-09 -6.9448e-18
 255  1 1  0.0442 -0.0020 2.4851e-09 -7.7728e-18
 256  1 1  0.0287 -0.0010 2.0973e-09 -7.3421e-18
 257  1 1  0.0175 -0.0003 1.8832e-09 -6.2180e-18
 258  1 1  0.0136  0.0002 1.7480e-09 -5.6188e-18
 260  1 1 -0.0075  0.0017 1.7249e-09 -6.1100e-18
 261  1 1  0.0086  0.0006 1.9815e-09 -7.5841e-18
 264  1 1  0.0034  0.0008 1.8055e-09 -6.4492e-18
 265  1 1 -0.0001  0.0010 1.8234e-09 -7.1384e-18
 266  1 1  0.0142  0.0001 1.9627e-09 -7.3760e-18
 267  1 1  0.0098  0.0004 1.8887e-09 -6.8425e-18
 268  1 1  0.0103  0.0006 1.7599e-09 -6.6302e-18
 269  1 1  0.0069  0.0008 2.0179e-09 -7.4959e-18
 270  1 1  0.0320 -0.0010 1.8438e-09 -5.8319e-18
 271  1 1  0.0161 -0.0001 1.8650e-09 -6.1927e-18
 272  1 1  0.0138  0.0001 2.0109e-09 -7.3355e-18
 273  1 1  0.0007  0.0008 1.6002e-09 -4.9035e-18
 274  1 1  0.0155 -0.0003 1.6263e-09 -5.0333e-18
 275  1 1  0.0224 -0.0007 1.7339e-09 -5.2190e-18
 276  1 1  0.0337 -0.0014 1.7619e-09 -5.3184e-18
 277  1 1  0.0265 -0.0008 1.7765e-09 -5.7387e-18
 278  1 1  0.0304 -0.0011 1.7386e-09 -5.6623e-18
 279  1 1  0.0328 -0.0012 1.7918e-09 -6.2639e-18
 280  1 1  0.0077  0.0005 1.4683e-09 -4.7973e-18
 281  1 1 -0.0150  0.0022 1.4847e-09 -4.5080e-18
 283  1 1  0.0328 -0.0010 1.9958e-09 -7.4013e-18
 284  1 1  0.0297 -0.0011 1.7341e-09 -5.2303e-18
 285  1 1  0.0194 -0.0005 1.7100e-09 -4.9777e-18
 286  1 1  0.0206 -0.0006 1.5594e-09 -3.8628e-18
 287  1 1  0.0131 -0.0001 1.5008e-09 -3.7616e-18
 288  1 1  0.0204 -0.0006 1.6564e-09 -4.4659e-18
 289  1 1  0.0177 -0.0002 1.5864e-09 -3.9727e-18
 290  1 1  0.0170 -0.0001 1.8561e-09 -5.5816e-18
 291  1 1  0.0272 -0.0008 1.6551e-09 -3.9532e-18
 292  1 1  0.0407 -0.0017 2.2081e-09 -6.7286e-18
 293  1 1  0.0240 -0.0006 1.7963e-09 -4.8465e-18
 294  1 1  0.0278 -0.0010 1.6859e-09 -4.3801e-18
 295  1 1  0.0261 -0.0008 1.6569e-09 -4.3616e-18
 296  1 1  0.0283 -0.0009 1.6676e-09 -4.0137e-18
 297  1 1  0.0320 -0.0011 1.6805e-09 -4.1502e-18
 298  1 1  0.0273 -0.0008 1.7908e-09 -4.7705e-18
 299  1 1  0.0313 -0.0011 2.0742e-09 -6.2636e-18
 300  1 1  0.0234 -0.0006 1.6404e-09 -3.8135e-18
 301  1 1  0.0204 -0.0003 1.7851e-09 -4.7134e-18
 302  1 1  0.0293 -0.0011 1.8557e-09 -4.8243e-18
 303  1 1  0.0251 -0.0008 2.0050e-09 -5.2790e-18
 304  1 1  0.0265 -0.0009 1.8489e-09 -4.6542e-18
 305  1 1  0.0237 -0.0007 1.9146e-09 -5.0334e-18
