# ZTF errorbar correction coefficients in the r band
# P. Mroz @ Caltech, 18 Nov 2020
# magerr = A + B*x + C*10^(0.4*x) + D*10^(0.8*x) for x <= 21
# magerr = b*x + c for x > 21
# Unfortunately, "b" and "c" coefficients are not stored anywhere
# according to Frank Masci (email from 17 Nov 2020).
# fieldid ccdid qid A B C D
 245  1 1  0.0302 -0.0012 2.0820e-09 -6.1411e-18
 246  1 1  0.0179 -0.0004 2.1422e-09 -6.6417e-18
 247  1 1  0.0350 -0.0016 2.2588e-09 -7.6254e-18
 248  1 1  0.0280 -0.0011 2.1617e-09 -7.0712e-18
 249  1 1  0.0378 -0.0018 2.6360e-09 -8.8182e-18
 250  1 1  0.0310 -0.0012 2.4743e-09 -8.3245e-18
 251  1 1  0.0377 -0.0017 2.4683e-09 -8.2346e-18
 252  1 1  0.0489 -0.0025 2.6354e-09 -9.6763e-18
 253  1 1  0.0431 -0.0021 2.8183e-09 -1.0108e-17
 254  1 1  0.0339 -0.0015 2.5614e-09 -9.4339e-18
 255  1 1  0.0419 -0.0020 2.5833e-09 -9.5044e-18
 256  1 1  0.0359 -0.0017 2.3972e-09 -7.9872e-18
 257  1 1  0.0270 -0.0013 2.1909e-09 -6.3079e-18
 258  1 1  0.0257 -0.0012 1.9849e-09 -6.1252e-18
 259  1 1  0.0348 -0.0014 2.0315e-09 -6.2788e-18
 260  1 1  0.0295 -0.0010 2.3678e-09 -6.9923e-18
 261  1 1  0.0252 -0.0010 2.3415e-09 -8.2007e-18
 262  1 1  0.0159 -0.0005 1.3601e-09 -2.8249e-18
 264  1 1  0.0373 -0.0019 2.2006e-09 -7.5156e-18
 265  1 1  0.0386 -0.0019 2.4975e-09 -9.9129e-18
 266  1 1  0.0272 -0.0011 2.2743e-09 -8.6437e-18
 267  1 1  0.0316 -0.0016 2.0920e-09 -7.3898e-18
 268  1 1  0.0308 -0.0014 2.0741e-09 -7.6375e-18
 269  1 1  0.0306 -0.0013 2.3689e-09 -9.0658e-18
 271  1 1  0.0147 -0.0004 1.9953e-09 -6.5276e-18
 272  1 1  0.0226 -0.0009 2.0141e-09 -6.6174e-18
 273  1 1  0.0194 -0.0007 1.9333e-09 -6.2430e-18
 274  1 1  0.0223 -0.0009 1.9007e-09 -6.1528e-18
 275  1 1  0.0277 -0.0012 1.8226e-09 -5.5528e-18
 276  1 1  0.0231 -0.0010 1.6856e-09 -4.8350e-18
 277  1 1  0.0223 -0.0009 1.8084e-09 -5.5125e-18
 278  1 1  0.0260 -0.0011 1.8921e-09 -6.0754e-18
 279  1 1  0.0216 -0.0004 1.3158e-09 -2.6012e-18
 280  1 1  0.0410 -0.0015 1.6235e-09 -4.2218e-18
 281  1 1  0.0191 -0.0004 1.4471e-09 -3.2127e-18
 283  1 1  0.0277 -0.0010 1.5917e-09 -4.1838e-18
 284  1 1  0.0100 -0.0001 1.2972e-09 -1.9665e-18
 285  1 1  0.0105 -0.0002 1.2859e-09 -2.3735e-18
 286  1 1  0.0252 -0.0011 1.7748e-09 -4.9349e-18
 287  1 1  0.0277 -0.0013 1.8813e-09 -5.8217e-18
 288  1 1  0.0302 -0.0013 2.0928e-09 -6.6647e-18
 289  1 1  0.0300 -0.0013 1.9272e-09 -5.5418e-18
 290  1 1  0.0311 -0.0014 2.0640e-09 -5.9545e-18
 291  1 1  0.0348 -0.0016 2.1547e-09 -6.6638e-18
 292  1 1  0.0335 -0.0015 2.1233e-09 -6.6183e-18
 293  1 1  0.0306 -0.0013 1.9815e-09 -5.6034e-18
 294  1 1  0.0229 -0.0008 1.8022e-09 -4.6942e-18
 295  1 1  0.0195 -0.0006 1.7814e-09 -4.5415e-18
 296  1 1  0.0375 -0.0017 1.9379e-09 -5.0669e-18
 297  1 1  0.0270 -0.0010 1.7540e-09 -4.1352e-18
 298  1 1  0.0255 -0.0009 1.8173e-09 -4.3556e-18
 299  1 1  0.0266 -0.0010 1.9304e-09 -5.0034e-18
 300  1 1  0.0384 -0.0019 2.1760e-09 -6.3357e-18
 301  1 1  0.0339 -0.0016 2.2972e-09 -6.6149e-18
 302  1 1  0.0407 -0.0021 2.3082e-09 -6.7051e-18
 303  1 1  0.0427 -0.0022 2.4791e-09 -8.2475e-18
 304  1 1  0.0344 -0.0016 2.3485e-09 -7.3593e-18
 305  1 1  0.0254 -0.0010 2.1386e-09 -6.5944e-18
 306  1 1  0.0279 -0.0012 2.0576e-09 -5.9476e-18
 307  1 1  0.0223 -0.0007 1.8342e-09 -4.9652e-18
 308  1 1  0.0352 -0.0015 2.0300e-09 -6.0768e-18
 309  1 1  0.0348 -0.0014 2.0502e-09 -6.4312e-18
 310  1 1  0.0142 -0.0004 2.5903e-09 -4.3005e-18
 311  1 1  0.0067  0.0000 1.0704e-09 -1.2848e-18
 312  1 1  0.0284 -0.0012 2.1269e-09 -6.8504e-18
 313  1 1  0.0285 -0.0013 1.9643e-09 -5.9509e-18
 314  1 1  0.0322 -0.0014 1.9657e-09 -5.7289e-18
 315  1 1  0.0350 -0.0016 2.2550e-09 -7.5270e-18
 316  1 1  0.0298 -0.0014 2.0892e-09 -6.5961e-18
 317  1 1  0.0349 -0.0017 2.1535e-09 -7.0436e-18
 318  1 1  0.0355 -0.0018 2.0430e-09 -6.6094e-18
 319  1 1  0.0314 -0.0014 2.0271e-09 -6.5073e-18
 320  1 1  0.0389 -0.0021 2.2864e-09 -7.6103e-18
 321  1 1  0.0370 -0.0018 2.0975e-09 -6.2347e-18
 322  1 1  0.0298 -0.0014 1.9183e-09 -5.8274e-18
 323  1 1  0.0285 -0.0013 1.9972e-09 -6.1497e-18
 324  1 1  0.0293 -0.0014 1.9196e-09 -5.2494e-18
 325  1 1  0.0287 -0.0013 1.9121e-09 -5.4802e-18
 326  1 1  0.0102 -0.0001 1.3771e-09 -2.7644e-18
 327  1 1  0.0185 -0.0006 1.5309e-09 -3.7107e-18
 328  1 1  0.0157 -0.0002 1.6552e-09 -4.4195e-18
 329  1 1  0.0130 -0.0002 1.4818e-09 -3.7819e-18
 330  1 1  0.0359 -0.0014 1.7548e-09 -4.6672e-18
 331  1 1  0.0738 -0.0033 2.0672e-09 -7.7654e-18
 332  1 1  0.0120  0.0001 1.1305e-09 -1.3081e-18
 333  1 1  0.0359 -0.0013 1.8134e-09 -6.0401e-18
 334  1 1  0.0211 -0.0008 1.5308e-09 -3.1070e-18
 335  1 1  0.0126 -0.0002 1.1367e-09 -1.2421e-18
 336  1 1  0.0036  0.0003 9.3426e-10 -7.0248e-19
 337  1 1  0.0200 -0.0007 1.5824e-09 -3.6998e-18
 338  1 1  0.0231 -0.0009 1.7985e-09 -4.8066e-18
 339  1 1  0.0232 -0.0009 1.8607e-09 -4.9364e-18
 340  1 1  0.0207 -0.0007 1.7713e-09 -4.4555e-18
 341  1 1  0.0331 -0.0015 2.0163e-09 -6.0755e-18
 342  1 1  0.0300 -0.0014 1.7955e-09 -4.8509e-18
 343  1 1  0.0330 -0.0015 1.8413e-09 -4.4416e-18
 344  1 1  0.0243 -0.0009 1.7376e-09 -4.3545e-18
 345  1 1  0.0262 -0.0011 1.7212e-09 -4.1473e-18
 346  1 1  0.0276 -0.0011 1.8122e-09 -4.6840e-18
 347  1 1  0.0349 -0.0016 1.8383e-09 -4.6661e-18
 348  1 1  0.0322 -0.0014 1.7597e-09 -3.9968e-18
 349  1 1  0.0303 -0.0013 1.7837e-09 -4.2413e-18
 350  1 1  0.0340 -0.0016 1.9392e-09 -4.7094e-18
 351  1 1  0.0374 -0.0017 2.0542e-09 -4.3295e-18
 352  1 1  0.0294 -0.0013 1.9196e-09 -4.6883e-18
 353  1 1  0.0383 -0.0019 2.0748e-09 -5.5641e-18
 354  1 1  0.0302 -0.0014 1.8144e-09 -4.3314e-18
 355  1 1  0.0271 -0.0012 1.9292e-09 -5.0520e-18
 356  1 1  0.0211 -0.0008 1.8385e-09 -5.1264e-18
 357  1 1  0.0210 -0.0008 1.7448e-09 -4.6330e-18
 358  1 1  0.0180 -0.0005 1.7044e-09 -4.6908e-18
 359  1 1  0.0207 -0.0006 1.8499e-09 -5.0875e-18
 360  1 1  0.0243 -0.0007 1.7921e-09 -4.4726e-18
 361  1 1  0.0210 -0.0007 1.8823e-09 -5.6840e-18
 362  1 1  0.0261 -0.0011 1.9456e-09 -5.6210e-18
 363  1 1  0.0301 -0.0013 2.0540e-09 -5.9143e-18
 364  1 1  0.0276 -0.0011 2.0564e-09 -5.9335e-18
 365  1 1  0.0286 -0.0012 2.0772e-09 -6.5675e-18
 366  1 1  0.0307 -0.0014 2.2308e-09 -7.2062e-18
 367  1 1  0.0162 -0.0004 1.6491e-09 -3.9861e-18
 368  1 1  0.0261 -0.0011 2.0143e-09 -5.6281e-18
 369  1 1  0.0195 -0.0006 2.0164e-09 -6.2609e-18
 370  1 1  0.0313 -0.0014 1.9995e-09 -5.3395e-18
 371  1 1  0.0388 -0.0019 2.3522e-09 -7.7304e-18
 372  1 1  0.0322 -0.0015 2.0356e-09 -5.8519e-18
 373  1 1  0.0300 -0.0014 1.9676e-09 -6.9155e-18
 374  1 1  0.0273 -0.0012 1.8485e-09 -5.2555e-18
 375  1 1  0.0237 -0.0010 1.6801e-09 -3.8436e-18
 376  1 1  0.0227 -0.0009 1.6589e-09 -4.0473e-18
 377  1 1  0.0138 -0.0003 1.4411e-09 -3.0754e-18
 378  1 1  0.0154 -0.0004 1.4110e-09 -2.7368e-18
 379  1 1  0.0225 -0.0006 1.5293e-09 -3.3700e-18
 380  1 1  0.0099 -0.0000 1.2050e-09 -1.7210e-18
 381  1 1  0.0184 -0.0004 1.1887e-09 -1.7503e-18
 382  1 1  0.0161 -0.0003 1.1718e-09 -1.8610e-18
 383  1 1  0.0204 -0.0005 1.4723e-09 -3.1601e-18
 384  1 1  0.0334 -0.0008 1.2329e-09 -2.1091e-18
 385  1 1  0.0083  0.0000 1.2975e-09 -2.0057e-18
 386  1 1  0.0077  0.0000 1.2822e-09 -1.2688e-18
 387  1 1 -0.0007  0.0005 9.9400e-10 -9.7622e-19
 388  1 1  0.0189 -0.0006 1.6714e-09 -3.9375e-18
 389  1 1  0.0225 -0.0008 1.5620e-09 -3.3449e-18
 390  1 1  0.0189 -0.0006 1.5241e-09 -3.1414e-18
 391  1 1  0.0211 -0.0007 1.8149e-09 -4.5191e-18
 392  1 1  0.0326 -0.0015 1.9522e-09 -5.5618e-18
 393  1 1  0.0194 -0.0006 1.6579e-09 -4.1401e-18
 394  1 1  0.0252 -0.0010 1.6981e-09 -4.0243e-18
 395  1 1  0.0290 -0.0012 1.7926e-09 -4.4152e-18
 396  1 1  0.0232 -0.0009 1.5593e-09 -3.3442e-18
 397  1 1  0.0230 -0.0009 1.5767e-09 -3.3698e-18
 398  1 1  0.0289 -0.0013 1.6397e-09 -3.7554e-18
 399  1 1  0.0340 -0.0015 1.5721e-09 -3.5683e-18
 400  1 1  0.0228 -0.0008 1.5839e-09 -3.6073e-18
 401  1 1  0.0243 -0.0010 1.6218e-09 -3.3816e-18
 402  1 1  0.0323 -0.0015 1.6549e-09 -3.6283e-18
 403  1 1  0.0409 -0.0021 2.3332e-09 -5.7639e-18
 404  1 1  0.0279 -0.0013 1.6347e-09 -3.2662e-18
 405  1 1  0.0332 -0.0016 1.8462e-09 -4.3866e-18
 406  1 1  0.0252 -0.0011 1.7385e-09 -3.4597e-18
 407  1 1  0.0184 -0.0007 1.6679e-09 -3.7302e-18
 408  1 1  0.0133 -0.0003 1.5801e-09 -3.4511e-18
 409  1 1  0.0124 -0.0002 1.5956e-09 -3.7894e-18
